AwayEFG,AwayFT/FGA,AwayORB,AwayScore,AwayTOV,HomeEFG,HomeFT/FGA,HomeORB,HomeScore,HomeTOV,pace,url
0.415,0.239,16.7,76,16.5,0.47,0.217,29.5,96,9.6,88,http://www.basketball-reference.com/boxscores/201511080MIA.html
0.431,0.149,22.2,95,8,0.446,0.286,22.7,99,8.5,95.3,http://www.basketball-reference.com/boxscores/201511080NYK.html
0.494,0.238,16.7,103,19.4,0.543,0.234,39.5,124,12.3,105.6,http://www.basketball-reference.com/boxscores/201511080OKC.html
0.547,0.156,35.3,120,7.8,0.599,0.158,20,103,20.8,96.5,http://www.basketball-reference.com/boxscores/201511080POR.html
0.619,0.225,25.8,117,17.5,0.587,0.07,11.1,107,16,99.6,http://www.basketball-reference.com/boxscores/201511090ATL.html
0.451,0.242,20.4,104,8,0.565,0.273,21.6,108,13.3,97,http://www.basketball-reference.com/boxscores/201511090DEN.html
0.506,0.106,30,95,17.9,0.538,0.121,31,109,14.2,96.4,http://www.basketball-reference.com/boxscores/201511090GSW.html
0.462,0.154,16.3,84,19.7,0.513,0.234,14,97,17.2,97.5,http://www.basketball-reference.com/boxscores/201511090IND.html
0.45,0.25,23.8,92,13.1,0.449,0.485,21.1,94,17.6,93,http://www.basketball-reference.com/boxscores/201511090LAC.html
0.479,0.198,26,111,11.7,0.375,0.13,25,88,10.6,104.4,http://www.basketball-reference.com/boxscores/201511090PHI.html
0.563,0.092,20.5,106,14.8,0.446,0.155,22.4,88,17.1,98.5,http://www.basketball-reference.com/boxscores/201511090SAC.html
0.549,0.293,35.1,114,14.5,0.574,0.446,31.4,118,14.7,94.1,http://www.basketball-reference.com/boxscores/201511100CLE.html
0.513,0.117,13.5,88,17.1,0.482,0.238,32.6,101,9.4,90.7,http://www.basketball-reference.com/boxscores/201511100MIA.html
0.483,0.186,30.4,99,11.3,0.452,0.233,22.5,83,17,89.4,http://www.basketball-reference.com/boxscores/201511100MIL.html
0.538,0.256,9.5,104,15.1,0.506,0.175,25,95,19.9,99.3,http://www.basketball-reference.com/boxscores/201511100MIN.html
0.472,0.25,17,105,11.6,0.576,0.152,20,120,9.9,101.4,http://www.basketball-reference.com/boxscores/201511100NOP.html
0.5,0.168,27.1,111,8,0.464,0.369,31.1,109,9.8,95.4,http://www.basketball-reference.com/boxscores/201511100TOR.html
0.599,0.256,25.6,125,10.8,0.418,0.206,21.8,101,6.9,99.9,http://www.basketball-reference.com/boxscores/201511100WAS.html
0.53,0.12,18.2,98,17.5,0.547,0.14,20,106,11.4,97,http://www.basketball-reference.com/boxscores/201511110ATL.html
0.519,0.253,26.3,102,16.3,0.442,0.299,20.5,91,16.5,97.9,http://www.basketball-reference.com/boxscores/201511110BOS.html
0.512,0.058,29.7,93,15.2,0.464,0.202,14.6,95,4.9,91.7,http://www.basketball-reference.com/boxscores/201511110CHO.html
